what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1497691647348
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1497691652393
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1497691652570
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1497691654426
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1497691661667
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1497691710746
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1497691712792
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1497691797191
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1497691799802
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1497691802119
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1497691814134
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1497691817964
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1497691829441
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1497691834488
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1497691837876
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1497691839108
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1497691840936
